"x","y","pwprob"
"G_4","G_40",0.514625
"G_4","G_41",0.776125
"G_4","G_42",0.180125
"G_4","G_43",0.62575
"G_4","G_44",0.48875
"G_4","G_45",0.285
"G_4","G_46",0.555125
"G_4","G_47",0.788375
"G_4","G_48",0.90075
"G_4","G_49",0.836
"G_4","G_50",0.274875
"G_4","G_51",0.763375
"G_4","G_52",0.812875
"G_4","G_54",0.881875
"G_4","G_56",0.895
"G_4","G_57",0.912
"G_4","G_59",0.9055
"G_4","G_60",0.89775
"G_4","G_61",0.90775
"G_4","G_62",0.9035
"G_4","G_63",0.851875
"G_4","G_64",0.876875
"G_4","G_65",0.917375
"G_4","G_66",0.929375
"G_4","G_67",0.9085
"G_4","G_68",0.860375
"G_4","G_69",0.915
"G_4","G_70",0.900875
"G_4","G_71",0.866625
"G_4","G_72",0.881375
"G_4","G_73",0.681375
"G_4","G_74",0.89325
"G_4","G_75",0.8935
"G_4","G_77",0.89075
"G_4","G_78",0.864375
"G_4","G_82",0.905875
"G_4","G_83",0.899
"G_4","G_84",0.869375
"G_4","G_85",0.90425
"G_4","G_86",0.916375
"G_4","G_87",0.90775
"G_4","G_88",0.909625
"G_4","G_89",0.78575
"G_4","G_90",0.885625
"G_4","G_91",0.8645
"G_4","G_92",0.92225
"G_4","G_93",0.334875
"G_4","G_97",0.92025
"G_4","G_98",0.887
"G_5","G_6",0.13275
"G_5","G_7",0.85725
"G_5","G_8",0.094375
"G_5","G_9",0.343875
"G_5","G_10",0.13075
"G_5","G_12",0.714125
"G_5","G_13",0.102625
"G_5","G_14",0.186875
"G_5","G_15",0.89975
"G_5","G_16",0.1995
"G_5","G_17",0.1295
"G_5","G_18",0.512625
"G_5","G_19",0.4265
"G_5","G_20",0.08275
"G_5","G_21",0.128625
"G_5","G_22",0.916875
"G_5","G_23",0.90925
"G_5","G_24",0.88225
"G_5","G_25",0.08725
"G_5","G_26",0.190625
"G_5","G_27",0.216125
"G_5","G_28",0.073375
"G_5","G_29",0.1275
"G_5","G_30",0.22625
"G_5","G_31",0.094125
"G_5","G_32",0.073875
"G_5","G_34",0.130625
"G_5","G_35",0.27675
"G_5","G_36",0.127625
"G_5","G_37",0.6415
"G_5","G_38",0.126625
"G_5","G_39",0.215375
"G_5","G_40",0.094125
"G_5","G_41",0.083375
"G_5","G_42",0.0855
"G_5","G_43",0.130375
"G_5","G_44",0.1165
"G_5","G_45",0.119625
"G_5","G_46",0.074125
"G_5","G_47",0.091
"G_5","G_48",0.54875
"G_5","G_49",0.159625
"G_5","G_50",0.123625
"G_5","G_51",0.12875
"G_5","G_52",0.12725
"G_5","G_54",0.432125
"G_5","G_56",0.493
"G_5","G_57",0.855125
"G_5","G_59",0.72775
"G_5","G_60",0.666125
"G_5","G_61",0.87975
"G_5","G_62",0.601
"G_5","G_63",0.18925
"G_5","G_64",0.230625
"G_5","G_65",0.5705
"G_5","G_66",0.691625
"G_5","G_67",0.82225
"G_5","G_68",0.11975
"G_5","G_69",0.622625
"G_5","G_70",0.21075
"G_5","G_71",0.281875
"G_5","G_72",0.36175
"G_5","G_73",0.1625
"G_5","G_74",0.8395
"G_5","G_75",0.69875
"G_5","G_77",0.709375
"G_5","G_78",0.6465
"G_5","G_82",0.806375
"G_5","G_83",0.87225
"G_5","G_84",0.569375
"G_5","G_85",0.795625
"G_5","G_86",0.908625
"G_5","G_87",0.887
"G_5","G_88",0.695875
"G_5","G_89",0.207375
"G_5","G_90",0.57325
"G_5","G_91",0.338875
"G_5","G_92",0.791125
"G_5","G_93",0.09675
"G_5","G_97",0.898625
"G_5","G_98",0.244875
"G_6","G_7",0.90525
"G_6","G_8",0.611625
"G_6","G_9",0.821125
"G_6","G_10",0.462625
"G_6","G_12",0.877625
"G_6","G_13",0.169875
"G_6","G_14",0.552125
"G_6","G_15",0.90625
"G_6","G_16",0.7385
"G_6","G_17",0.371875
"G_6","G_18",0.879625
"G_6","G_19",0.81075
"G_6","G_20",0.227
"G_6","G_21",0.419625
"G_6","G_22",0.911625
"G_6","G_23",0.90675
"G_6","G_24",0.892375
"G_6","G_25",0.341375
"G_6","G_26",0.768
"G_6","G_27",0.780125
"G_6","G_28",0.319125
"G_6","G_29",0.588375
"G_6","G_30",0.745125
"G_6","G_31",0.557625
"G_6","G_32",0.121875
"G_6","G_34",0.418875
"G_6","G_35",0.725625
"G_6","G_36",0.40875
"G_6","G_37",0.86875
"G_6","G_38",0.224625
"G_6","G_39",0.70775
"G_6","G_40",0.277625
"G_6","G_41",0.495125
"G_6","G_42",0.105375
"G_6","G_43",0.316
"G_6","G_44",0.246125
"G_6","G_45",0.164875
"G_6","G_46",0.242875
"G_6","G_47",0.436
"G_6","G_48",0.86825
"G_6","G_49",0.60425
"G_6","G_50",0.179625
"G_6","G_51",0.470625
"G_6","G_52",0.5335
"G_6","G_54",0.83375
"G_6","G_56",0.8545
"G_6","G_57",0.909875
"G_6","G_59",0.86
"G_6","G_60",0.851
"G_6","G_61",0.8985
"G_6","G_62",0.88225
"G_6","G_63",0.617
"G_6","G_64",0.724875
"G_6","G_65",0.881875
"G_6","G_66",0.911
"G_6","G_67",0.8995
"G_6","G_68",0.679125
"G_6","G_69",0.89
"G_6","G_70",0.796125
"G_6","G_71",0.73825
"G_6","G_72",0.793
"G_6","G_73",0.438875
"G_6","G_74",0.8815
"G_6","G_75",0.879875
"G_6","G_77",0.87275
"G_6","G_78",0.815625
"G_6","G_82",0.880625
"G_6","G_83",0.8755
"G_6","G_84",0.817125
"G_6","G_85",0.906375
"G_6","G_86",0.9115
"G_6","G_87",0.900125
"G_6","G_88",0.865375
"G_6","G_89",0.585375
"G_6","G_90",0.819375
"G_6","G_91",0.731125
"G_6","G_92",0.900375
"G_6","G_93",0.18725
"G_6","G_97",0.90275
"G_6","G_98",0.832375
"G_7","G_8",0.076
"G_7","G_9",0.144375
"G_7","G_10",0.095125
"G_7","G_12",0.266
"G_7","G_13",0.080875
"G_7","G_14",0.121375
"G_7","G_15",0.784625
"G_7","G_16",0.11225
"G_7","G_17",0.106875
"G_7","G_18",0.145875
"G_7","G_19",0.186125
"G_7","G_20",0.076875
"G_7","G_21",0.117875
"G_7","G_22",0.86825
"G_7","G_23",0.87325
"G_7","G_24",0.68325
"G_7","G_25",0.0795
"G_7","G_26",0.10225
"G_7","G_27",0.1095
"G_7","G_28",0.07025
"G_7","G_29",0.108625
"G_7","G_30",0.104625
"G_7","G_31",0.09275
"G_7","G_32",0.057125
"G_7","G_34",0.082875
"G_7","G_35",0.0995
"G_7","G_36",0.081375
"G_7","G_37",0.334625
"G_7","G_38",0.098875
"G_7","G_39",0.13125
"G_7","G_40",0.08025
"G_7","G_41",0.077875
"G_7","G_42",0.080625
"G_7","G_43",0.10075
"G_7","G_44",0.097875
"G_7","G_45",0.08725
"G_7","G_46",0.0665
"G_7","G_47",0.0795
"G_7","G_48",0.219125
"G_7","G_49",0.08975
"G_7","G_50",0.08925
"G_7","G_51",0.108625
"G_7","G_52",0.101625
"G_7","G_54",0.120125
"G_7","G_56",0.133875
"G_7","G_57",0.459
"G_7","G_59",0.42425
"G_7","G_60",0.390375
"G_7","G_61",0.807
"G_7","G_62",0.190375
"G_7","G_63",0.118625
"G_7","G_64",0.107875
"G_7","G_65",0.172875
"G_7","G_66",0.334875
"G_7","G_67",0.478
"G_7","G_68",0.083875
"G_7","G_69",0.163875
"G_7","G_70",0.090625
"G_7","G_71",0.1185
"G_7","G_72",0.131
"G_7","G_73",0.11275
"G_7","G_74",0.696
"G_7","G_75",0.218625
"G_7","G_77",0.4595
"G_7","G_78",0.407
"G_7","G_82",0.541
"G_7","G_83",0.83975
"G_7","G_84",0.300375
"G_7","G_85",0.527875
"G_7","G_86",0.820125
"G_7","G_87",0.8825
"G_7","G_88",0.4255
"G_7","G_89",0.114
"G_7","G_90",0.29
"G_7","G_91",0.171125
"G_7","G_92",0.557
"G_7","G_93",0.0775
"G_7","G_97",0.870875
"G_7","G_98",0.101875
"G_8","G_9",0.829
"G_8","G_10",0.360125
"G_8","G_12",0.905
"G_8","G_13",0.139875
"G_8","G_14",0.415625
"G_8","G_15",0.9345
"G_8","G_16",0.678125
"G_8","G_17",0.26025
"G_8","G_18",0.91825
"G_8","G_19",0.8125
"G_8","G_20",0.167375
"G_8","G_21",0.301875
"G_8","G_22",0.938
"G_8","G_23",0.936875
"G_8","G_24",0.93375
"G_8","G_25",0.17525
"G_8","G_26",0.765375
"G_8","G_27",0.800625
"G_8","G_28",0.156625
"G_8","G_29",0.398
"G_8","G_30",0.724375
"G_8","G_31",0.42125
"G_8","G_32",0.112625
"G_8","G_34",0.324125
"G_8","G_35",0.7195
"G_8","G_36",0.323625
"G_8","G_37",0.90675
"G_8","G_38",0.183875
"G_8","G_39",0.660625
"G_8","G_40",0.179625
"G_8","G_41",0.315125
"G_8","G_42",0.10675
"G_8","G_43",0.182875
"G_8","G_44",0.18075
"G_8","G_45",0.157
"G_8","G_46",0.131625
"G_8","G_47",0.229125
"G_8","G_48",0.90975
"G_8","G_49",0.49425
"G_8","G_50",0.185625
"G_8","G_51",0.32725
"G_8","G_52",0.3535
"G_8","G_54",0.873875
"G_8","G_56",0.89825
"G_8","G_57",0.931125
"G_8","G_59",0.903125
"G_8","G_60",0.881625
"G_8","G_61",0.925375
"G_8","G_62",0.922375
"G_8","G_63",0.512
"G_8","G_64",0.711
"G_8","G_65",0.942625
"G_8","G_66",0.934375
"G_8","G_67",0.92975
"G_8","G_68",0.6225
"G_8","G_69",0.922875
"G_8","G_70",0.83125
"G_8","G_71",0.721375
"G_8","G_72",0.811625
"G_8","G_73",0.319
"G_8","G_74",0.91425
"G_8","G_75",0.9115
"G_8","G_77",0.901375
"G_8","G_78",0.8305
"G_8","G_82",0.914
"G_8","G_83",0.905875
"G_8","G_84",0.8405
"G_8","G_85",0.934375
"G_8","G_86",0.939125
"G_8","G_87",0.9255
"G_8","G_88",0.90625
"G_8","G_89",0.5045
"G_8","G_90",0.862
"G_8","G_91",0.7105
"G_8","G_92",0.930125
"G_8","G_93",0.15025
"G_8","G_97",0.9235
"G_8","G_98",0.873625
"G_9","G_10",0.17775
"G_9","G_12",0.768125
"G_9","G_13",0.09325
"G_9","G_14",0.222375
"G_9","G_15",0.888875
"G_9","G_16",0.30175
"G_9","G_17",0.133375
"G_9","G_18",0.665125
"G_9","G_19",0.539625
"G_9","G_20",0.085375
"G_9","G_21",0.156375
"G_9","G_22",0.920625
"G_9","G_23",0.883625
"G_9","G_24",0.857125
"G_9","G_25",0.10025
"G_9","G_26",0.340875
"G_9","G_27",0.373375
"G_9","G_28",0.093375
"G_9","G_29",0.17175
"G_9","G_30",0.364625
"G_9","G_31",0.1775
"G_9","G_32",0.07375
"G_9","G_34",0.141375
"G_9","G_35",0.399875
"G_9","G_36",0.155375
"G_9","G_37",0.715
"G_9","G_38",0.107
"G_9","G_39",0.332625
"G_9","G_40",0.100375
"G_9","G_41",0.133625
"G_9","G_42",0.094
"G_9","G_43",0.12475
"G_9","G_44",0.10625
"G_9","G_45",0.102875
"G_9","G_46",0.083875
"G_9","G_47",0.107125
"G_9","G_48",0.675625
"G_9","G_49",0.215875
"G_9","G_50",0.109375
"G_9","G_51",0.169125
"G_9","G_52",0.159
"G_9","G_54",0.60075
"G_9","G_56",0.647
"G_9","G_57",0.885
"G_9","G_59",0.764
"G_9","G_60",0.725
"G_9","G_61",0.8685
"G_9","G_62",0.723625
"G_9","G_63",0.239625
"G_9","G_64",0.37
"G_9","G_65",0.70875
"G_9","G_66",0.763125
"G_9","G_67",0.853375
"G_9","G_68",0.24125
"G_9","G_69",0.726875
"G_9","G_70",0.3885
"G_9","G_71",0.392875
"G_9","G_72",0.5195
"G_9","G_73",0.14925
"G_9","G_74",0.844625
"G_9","G_75",0.7705
"G_9","G_77",0.771625
"G_9","G_78",0.717625
"G_9","G_82",0.8195
"G_9","G_83",0.861625
"G_9","G_84",0.661
"G_9","G_85",0.815875
"G_9","G_86",0.8975
"G_9","G_87",0.881625
"G_9","G_88",0.758625
"G_9","G_89",0.27575
"G_9","G_90",0.653875
"G_9","G_91",0.464125
"G_9","G_92",0.837875
"G_9","G_93",0.093
"G_9","G_97",0.88275
"G_9","G_98",0.448875
"G_10","G_12",0.873625
"G_10","G_13",0.190875
"G_10","G_14",0.600625
"G_10","G_15",0.911375
"G_10","G_16",0.758625
"G_10","G_17",0.412375
"G_10","G_18",0.88575
"G_10","G_19",0.83425
"G_10","G_20",0.27475
"G_10","G_21",0.455
"G_10","G_22",0.9215
"G_10","G_23",0.918
"G_10","G_24",0.9065
"G_10","G_25",0.387125
"G_10","G_26",0.789625
"G_10","G_27",0.799375
"G_10","G_28",0.38
"G_10","G_29",0.62425
"G_10","G_30",0.75875
"G_10","G_31",0.59725
"G_10","G_32",0.133125
"G_10","G_34",0.4875
"G_10","G_35",0.75375
"G_10","G_36",0.439375
"G_10","G_37",0.884125
"G_10","G_38",0.270375
"G_10","G_39",0.726875
"G_10","G_40",0.292625
"G_10","G_41",0.54125
"G_10","G_42",0.132375
"G_10","G_43",0.371125
"G_10","G_44",0.28925
"G_10","G_45",0.197
"G_10","G_46",0.29875
"G_10","G_47",0.497375
"G_10","G_48",0.8865
"G_10","G_49",0.65
"G_10","G_50",0.211625
"G_10","G_51",0.518
"G_10","G_52",0.565125
"G_10","G_54",0.840875
"G_10","G_56",0.8705
"G_10","G_57",0.9175
"G_10","G_59",0.8855
"G_10","G_60",0.866125
"G_10","G_61",0.915125
"G_10","G_62",0.90025
"G_10","G_63",0.644125
"G_10","G_64",0.741875
"G_10","G_65",0.91175
"G_10","G_66",0.9105
"G_10","G_67",0.91025
"G_10","G_68",0.7055
"G_10","G_69",0.898
"G_10","G_70",0.825625
"G_10","G_71",0.769
"G_10","G_72",0.80625
"G_10","G_73",0.473875
"G_10","G_74",0.898125
"G_10","G_75",0.889875
"G_10","G_77",0.869125
"G_10","G_78",0.829625
"G_10","G_82",0.896625
"G_10","G_83",0.903875
"G_10","G_84",0.819125
"G_10","G_85",0.9035
"G_10","G_86",0.922
"G_10","G_87",0.90775
"G_10","G_88",0.89575
"G_10","G_89",0.616125
"G_10","G_90",0.85125
"G_10","G_91",0.754875
"G_10","G_92",0.918
"G_10","G_93",0.215
"G_10","G_97",0.915
"G_10","G_98",0.837375
"G_12","G_13",0.095625
"G_12","G_14",0.17575
"G_12","G_15",0.89875
"G_12","G_16",0.184
"G_12","G_17",0.12675
"G_12","G_18",0.28475
"G_12","G_19",0.3
"G_12","G_20",0.091875
"G_12","G_21",0.127
"G_12","G_22",0.93025
"G_12","G_23",0.912875
"G_12","G_24",0.849625
"G_12","G_25",0.0975
"G_12","G_26",0.146
"G_12","G_27",0.1755
"G_12","G_28",0.0865
"G_12","G_29",0.133
"G_12","G_30",0.16925
"G_12","G_31",0.11025
"G_12","G_32",0.079125
"G_12","G_34",0.134625
"G_12","G_35",0.1735
"G_12","G_36",0.11625
"G_12","G_37",0.50425
"G_12","G_38",0.134375
"G_12","G_39",0.17975
"G_12","G_40",0.108
"G_12","G_41",0.093375
"G_12","G_42",0.0935
"G_12","G_43",0.13675
"G_12","G_44",0.129
"G_12","G_45",0.126125
"G_12","G_46",0.08425
"G_12","G_47",0.095375
