"x","y","pwprob"
"G_28","G_38",0.26125
"G_28","G_39",0.816625
"G_28","G_44",0.302125
"G_28","G_47",0.64575
"G_28","G_51",0.63625
"G_28","G_53",0.309625
"G_28","G_58",0.87325
"G_28","G_69",0.919625
"G_28","G_76",0.9045
"G_28","G_79",0.917375
"G_28","G_80",0.904875
"G_28","G_81",0.890375
"G_28","G_94",0.873625
"G_28","G_95",0.90975
"G_28","G_96",0.917
"G_29","G_32",0.085
"G_29","G_33",0.47325
"G_29","G_34",0.337625
"G_29","G_35",0.739375
"G_29","G_38",0.171125
"G_29","G_39",0.659125
"G_29","G_44",0.1645
"G_29","G_47",0.280375
"G_29","G_51",0.374375
"G_29","G_53",0.191875
"G_29","G_58",0.776625
"G_29","G_69",0.88175
"G_29","G_76",0.84
"G_29","G_79",0.88
"G_29","G_80",0.82975
"G_29","G_81",0.86725
"G_29","G_94",0.77275
"G_29","G_95",0.86725
"G_29","G_96",0.882125
"G_32","G_33",0.891125
"G_32","G_34",0.86225
"G_32","G_35",0.904375
"G_32","G_38",0.670875
"G_32","G_39",0.91125
"G_32","G_44",0.797625
"G_32","G_47",0.892
"G_32","G_51",0.904375
"G_32","G_53",0.6515
"G_32","G_58",0.9185
"G_32","G_69",0.937
"G_32","G_76",0.9165
"G_32","G_79",0.9195
"G_32","G_80",0.92125
"G_32","G_81",0.92275
"G_32","G_94",0.90425
"G_32","G_95",0.92625
"G_32","G_96",0.925125
"G_33","G_34",0.392875
"G_33","G_35",0.67875
"G_33","G_38",0.223125
"G_33","G_39",0.65725
"G_33","G_44",0.25
"G_33","G_47",0.40125
"G_33","G_51",0.442375
"G_33","G_53",0.262
"G_33","G_58",0.763
"G_33","G_69",0.864625
"G_33","G_76",0.827
"G_33","G_79",0.87225
"G_33","G_80",0.80075
"G_33","G_81",0.846375
"G_33","G_94",0.766625
"G_33","G_95",0.86575
"G_33","G_96",0.890375
"G_34","G_35",0.766375
"G_34","G_38",0.251
"G_34","G_39",0.768625
"G_34","G_44",0.303125
"G_34","G_47",0.52125
"G_34","G_51",0.566
"G_34","G_53",0.3145
"G_34","G_58",0.809625
"G_34","G_69",0.88925
"G_34","G_76",0.871375
"G_34","G_79",0.889
"G_34","G_80",0.843875
"G_34","G_81",0.861375
"G_34","G_94",0.827375
"G_34","G_95",0.898
"G_34","G_96",0.90575
"G_35","G_38",0.1695
"G_35","G_39",0.448375
"G_35","G_44",0.165
"G_35","G_47",0.173
"G_35","G_51",0.233
"G_35","G_53",0.188375
"G_35","G_58",0.640875
"G_35","G_69",0.836625
"G_35","G_76",0.74625
"G_35","G_79",0.8885
"G_35","G_80",0.722
"G_35","G_81",0.840875
"G_35","G_94",0.639375
"G_35","G_95",0.8715
"G_35","G_96",0.881375
"G_38","G_39",0.8675
"G_38","G_44",0.607
"G_38","G_47",0.780375
"G_38","G_51",0.78725
"G_38","G_53",0.5225
"G_38","G_58",0.86275
"G_38","G_69",0.88825
"G_38","G_76",0.885875
"G_38","G_79",0.887125
"G_38","G_80",0.85375
"G_38","G_81",0.871375
"G_38","G_94",0.877
"G_38","G_95",0.8905
"G_38","G_96",0.894625
"G_39","G_44",0.129125
"G_39","G_47",0.214375
"G_39","G_51",0.269125
"G_39","G_53",0.161625
"G_39","G_58",0.6575
"G_39","G_69",0.817875
"G_39","G_76",0.767
"G_39","G_79",0.8565
"G_39","G_80",0.729625
"G_39","G_81",0.808625
"G_39","G_94",0.681625
"G_39","G_95",0.86875
"G_39","G_96",0.83825
"G_44","G_47",0.7715
"G_44","G_51",0.751625
"G_44","G_53",0.432375
"G_44","G_58",0.871875
"G_44","G_69",0.90275
"G_44","G_76",0.892625
"G_44","G_79",0.883375
"G_44","G_80",0.870125
"G_44","G_81",0.88
"G_44","G_94",0.8705
"G_44","G_95",0.890625
"G_44","G_96",0.900375
"G_47","G_51",0.527875
"G_47","G_53",0.26
"G_47","G_58",0.850875
"G_47","G_69",0.924625
"G_47","G_76",0.889375
"G_47","G_79",0.902625
"G_47","G_80",0.88775
"G_47","G_81",0.91425
"G_47","G_94",0.846
"G_47","G_95",0.909
"G_47","G_96",0.913375
"G_51","G_53",0.248625
"G_51","G_58",0.819
"G_51","G_69",0.887125
"G_51","G_76",0.84875
"G_51","G_79",0.883875
"G_51","G_80",0.849875
"G_51","G_81",0.868875
"G_51","G_94",0.806125
"G_51","G_95",0.871125
"G_51","G_96",0.890125
"G_53","G_58",0.846125
"G_53","G_69",0.8815
"G_53","G_76",0.875375
"G_53","G_79",0.860125
"G_53","G_80",0.852
"G_53","G_81",0.84425
"G_53","G_94",0.864
"G_53","G_95",0.88725
"G_53","G_96",0.87325
"G_58","G_69",0.660125
"G_58","G_76",0.600125
"G_58","G_79",0.826625
"G_58","G_80",0.610875
"G_58","G_81",0.734125
"G_58","G_94",0.488
"G_58","G_95",0.7645
"G_58","G_96",0.793375
