"","G_1","G_2","G_3","G_4","G_5","G_6","G_7","G_8","G_9","G_10","G_11","G_12","G_13","G_14","G_15","G_16","G_17","G_18","G_19","G_20","G_21","G_22","G_23","G_24","G_25","G_26","G_27","G_28","G_29","G_30","G_31","G_32","G_33","G_34","G_35","G_36","G_37","G_38","G_39","G_40","G_41","G_42","G_43","G_44","G_45","G_46","G_47","G_48","G_49","G_50","G_51","G_52","G_53","G_54","G_56","G_57","G_58","G_59","G_60","G_61","G_62","G_63","G_64","G_65","G_66","G_67","G_68","G_69","G_70","G_71","G_72","G_73","G_74","G_75","G_76","G_77","G_78","G_79","G_80","G_81","G_82","G_83","G_84","G_85","G_86","G_87","G_88","G_89","G_90","G_91","G_92","G_93","G_94","G_95","G_96","G_97","G_98"
"G_32",0.018125,0.013,0.08675,0.013,0.000125,0.001125,0.000125,0.017,0.031,0.003875,0.07425,0.00025,0.138375,0.059375,0,0.02325,0.011875,0.001375,0.00025,0.7305,0.10125,5e-04,0,0.000875,0.095875,0.038625,0.0195,0.117375,0.026875,0.01725,0.136875,0,0.165375,0.291875,0.005,0.191125,0,0.503875,0.0205,0.169375,0.06825,0.15825,0.213875,0.314625,0.19525,0.174,0.047125,0.0025,0.036375,0.667375,0.011875,0.017,0.694,0.017125,0.001625,0.000625,0.015,0.000125,0.094125,0.003125,0,0.03725,0.0125,0.0025,0.00025,0.00125,0.018375,0,0.00725,0.000375,0.002625,0.0715,0.01675,0.000375,0.005375,0.088875,0.000625,5e-04,0.01675,0.00375,0.0035,0,0.001625,0.00375,0.000125,0.000125,0.001625,0.05625,0.002125,0.015375,0.09275,0.617625,0.03325,0.000125,0.000375,0,0.0015
"G_33",0.165125,0.121625,0.50225,0.190875,0.03325,0.049,0.013875,0.2405,0.284625,0.064625,0.266625,0.017125,0.589,0.32625,0.00175,0.26775,0.11525,0.05775,0.01225,0.914,0.458375,0.0165,0.00175,0.02725,0.5195,0.277375,0.23675,0.538625,0.299125,0.164375,0.47225,0.834625,0,0.668625,0.118,0.49925,0.00525,0.803875,0.236125,0.523125,0.389125,0.50525,0.622625,0.73025,0.599875,0.620125,0.41675,0.049125,0.2505,0.855625,0.192625,0.20325,0.87725,0.15975,0.05375,0.044125,0.14675,0.00225,0.3565,0.06375,0.02225,0.241625,0.1435,0.09525,0.019875,0.04825,0.233125,0.0225,0.1475,0.016125,0.064125,0.382,0.122625,0.04775,0.081,0.328625,0.02475,0.018625,0.138,0.061875,0.071875,0.007125,0.039125,0.078,0.015875,0.0055,0.03775,0.266,0.048625,0.129875,0.34225,0.8345,0.210875,0.010625,0.011,0.00825,0.06975
"G_34",0.078125,0.061625,0.298125,0.08425,0.009,0.01625,0.003375,0.115,0.143625,0.0265,0.162375,0.003875,0.382625,0.188,0.000125,0.1305,0.052125,0.02025,0.003875,0.843,0.277,0.00625,0.00025,0.00975,0.31475,0.151125,0.1195,0.33975,0.1425,0.077125,0.315,0.708125,0.331375,0,0.044625,0.353875,0.001125,0.6905,0.11425,0.361375,0.213125,0.340125,0.433875,0.554,0.41575,0.41725,0.2205,0.01725,0.13,0.79175,0.080625,0.099875,0.813125,0.084125,0.016375,0.013625,0.069875,5e-04,0.22425,0.0255,0.00475,0.132875,0.065625,0.03575,0.006625,0.01625,0.1135,0.005,0.06325,0.00425,0.0235,0.21525,0.06225,0.013875,0.032375,0.2055,0.00725,0.00725,0.065625,0.024625,0.024625,0.00175,0.0135,0.0305,0.00425,0.00225,0.0125,0.141625,0.017375,0.06175,0.209875,0.751125,0.10775,0.003625,0.0045,0.003375,0.023375
"G_35",0.5545,0.4095,0.9465,0.676625,0.154875,0.177875,0.093125,0.766375,0.795125,0.25225,0.6095,0.107125,0.9625,0.795,0.008375,0.79275,0.39675,0.2765,0.05775,0.99625,0.901,0.078875,0.011,0.120375,0.95525,0.758125,0.7455,0.9635,0.84575,0.549,0.91125,0.995,0.882,0.955375,0,0.8615,0.02825,0.986,0.719625,0.923,0.892625,0.901,0.969875,0.986125,0.951125,0.9685,0.928375,0.208,0.707125,0.981875,0.68025,0.67125,0.9865,0.453625,0.25225,0.195625,0.50325,0.013125,0.7615,0.240125,0.122625,0.691,0.5295,0.353375,0.098125,0.211875,0.737625,0.1305,0.56575,0.07575,0.262875,0.844875,0.41625,0.2525,0.308875,0.729625,0.106875,0.092125,0.48125,0.24925,0.328625,0.03725,0.159,0.33325,0.0915,0.03225,0.14825,0.662125,0.192875,0.44425,0.743125,0.980125,0.628875,0.0465,0.05225,0.0485,0.351375
"G_36",0.184125,0.134375,0.5095,0.218,0.039875,0.05325,0.02525,0.27325,0.31175,0.071625,0.27875,0.02375,0.583125,0.345875,0.001375,0.293875,0.131375,0.06925,0.01475,0.893,0.4665,0.02325,0.00275,0.03175,0.527375,0.302,0.26575,0.553,0.32475,0.192375,0.483875,0.808875,0.50075,0.646125,0.1385,0,0.006375,0.7855,0.264125,0.538875,0.40525,0.510625,0.62,0.7095,0.59825,0.60825,0.4355,0.057,0.280375,0.850875,0.22,0.22875,0.8655,0.164625,0.067625,0.052375,0.16325,0.00425,0.368125,0.07675,0.024375,0.263625,0.170875,0.100125,0.02575,0.05675,0.264125,0.027125,0.16675,0.0225,0.06825,0.399125,0.1335,0.060625,0.092125,0.34425,0.026375,0.02475,0.16025,0.077375,0.086,0.010125,0.04375,0.08875,0.019625,0.00675,0.041375,0.276625,0.05625,0.143375,0.353875,0.830375,0.239375,0.012125,0.01375,0.012125,0.08875
"G_37",0.977125,0.96575,0.99925,0.992875,0.94,0.900875,0.883125,0.996375,0.99375,0.94,0.972125,0.898125,0.999625,0.991125,0.52925,0.994625,0.967875,0.96,0.69225,1,0.9955,0.807375,0.293125,0.869625,0.999625,0.993,0.99425,0.9995,0.99825,0.97225,0.998875,1,0.99475,0.998875,0.97175,0.993625,0,0.999125,0.99025,0.998875,0.9985,0.997375,0.999875,0.999625,0.999125,0.99975,0.9995,0.927875,0.98725,0.999375,0.99225,0.994875,0.999625,0.98575,0.955875,0.95275,0.969875,0.328625,0.991125,0.91475,0.919875,0.986,0.977,0.984625,0.85725,0.942,0.996875,0.93275,0.992375,0.764,0.935,0.996625,0.955625,0.956625,0.94325,0.986875,0.8135,0.80325,0.969875,0.928875,0.95425,0.572125,0.875,0.95825,0.846,0.567375,0.847125,0.982,0.88675,0.957875,0.989625,0.999125,0.982375,0.70475,0.715125,0.61875,0.977
"G_38",0.035875,0.0295,0.146625,0.03475,0.002375,0.00825,0.001875,0.04975,0.059,0.011125,0.09475,0.001875,0.2,0.0985,0.000125,0.059125,0.02625,0.00675,0.00125,0.698875,0.140625,0.002,0,0.003875,0.162,0.070375,0.053125,0.184125,0.06425,0.037,0.18175,0.496125,0.196125,0.3095,0.014,0.2145,0.000875,0,0.049125,0.2235,0.109375,0.20025,0.2675,0.357625,0.24475,0.23825,0.09975,0.006625,0.065,0.665125,0.03375,0.043875,0.684,0.03625,0.006875,0.00325,0.03025,0.00025,0.125875,0.009875,0.001375,0.06925,0.032125,0.012625,0.00175,0.00675,0.050875,0.000875,0.025375,0.00225,0.00925,0.112375,0.0275,0.00425,0.014875,0.113375,0.00175,0.002625,0.03375,0.00975,0.009625,0.000375,0.005875,0.010625,0.00125,0.000375,0.00725,0.081125,0.007625,0.027625,0.118875,0.61625,0.058375,0.001125,0.00125,0.002125,0.00825
"G_39",0.352625,0.245,0.82825,0.432625,0.06275,0.084375,0.0365,0.53025,0.5895,0.127375,0.45675,0.040125,0.880375,0.61725,0.001625,0.576375,0.22975,0.132,0.025125,0.98775,0.756875,0.03425,0.003875,0.052375,0.858625,0.541,0.511875,0.86925,0.63325,0.343625,0.791875,0.9795,0.763875,0.88575,0.280375,0.735875,0.00975,0.950875,0,0.815375,0.722625,0.777,0.899,0.944625,0.870625,0.899375,0.7715,0.102125,0.515,0.9485,0.43675,0.436,0.9595,0.283375,0.1125,0.08975,0.310375,0.003125,0.60275,0.12825,0.047625,0.483625,0.3225,0.181875,0.03825,0.09475,0.495625,0.041875,0.325875,0.031,0.13425,0.67625,0.25525,0.11,0.15925,0.56675,0.051125,0.03975,0.29525,0.128,0.170625,0.014,0.0785,0.17725,0.03825,0.0125,0.0725,0.481625,0.1005,0.2685,0.57675,0.943375,0.44225,0.022,0.02025,0.01925,0.156875
"G_40",0.12525,0.06775,0.470375,0.1305,0.00625,0.01725,0.0035,0.160625,0.240125,0.029,0.223625,0.0035,0.567375,0.29775,0.000125,0.201875,0.060125,0.02125,0.00275,0.896375,0.422875,0.00525,0.00075,0.00875,0.490375,0.20925,0.167125,0.519875,0.231,0.112125,0.450125,0.830625,0.476875,0.638625,0.077,0.461125,0.001125,0.7765,0.184625,0,0.342125,0.480875,0.617125,0.725375,0.58375,0.61175,0.362125,0.018875,0.211875,0.82925,0.12425,0.129625,0.838625,0.084,0.018,0.012125,0.098875,5e-04,0.31025,0.03175,0.004875,0.199,0.09725,0.033375,0.00375,0.016125,0.15125,0.005,0.077125,0.005625,0.028125,0.33975,0.081375,0.013875,0.040375,0.276,0.006875,0.006375,0.09875,0.031375,0.038,0.002,0.015125,0.04025,0.00525,0.001375,0.01425,0.221375,0.02225,0.0835,0.3035,0.800125,0.1745,0.003625,0.002875,0.003875,0.02225
"G_41",0.172875,0.097625,0.662625,0.185,0.012125,0.024,0.004375,0.237375,0.359125,0.03875,0.299625,0.00475,0.7525,0.41425,0.00025,0.306,0.0945,0.025125,0.003125,0.963375,0.574625,0.006125,0.000375,0.014,0.711625,0.290625,0.2515,0.7365,0.360625,0.155,0.61725,0.93175,0.610875,0.786875,0.107375,0.59475,0.0015,0.890625,0.277375,0.657875,0,0.628875,0.805375,0.871625,0.757,0.79775,0.564375,0.022625,0.302625,0.899375,0.189125,0.18725,0.912875,0.1235,0.024125,0.01625,0.145,0.00075,0.413125,0.03975,0.004625,0.271375,0.14025,0.05,0.006,0.024875,0.218125,0.00275,0.10525,0.006625,0.039125,0.47775,0.117125,0.016625,0.053625,0.380375,0.0105,0.00875,0.13725,0.042625,0.054625,0.0015,0.025375,0.057125,0.006125,0.002,0.0205,0.304375,0.030375,0.129,0.404625,0.88075,0.25125,0.00325,0.00525,0.004375,0.030125
