"","G_1","G_2","G_3","G_4","G_5","G_6","G_7","G_8","G_9","G_10","G_11","G_12","G_13","G_14","G_15","G_16","G_17","G_18","G_19","G_20","G_21","G_22","G_23","G_24","G_25","G_26","G_27","G_28","G_29","G_30","G_31","G_32","G_33","G_34","G_35","G_36","G_37","G_38","G_39","G_40","G_41","G_42","G_43","G_44","G_45","G_46","G_47","G_48","G_49","G_50","G_51","G_52","G_53","G_54","G_56","G_57","G_58","G_59","G_60","G_61","G_62","G_63","G_64","G_65","G_66","G_67","G_68","G_69","G_70","G_71","G_72","G_73","G_74","G_75","G_76","G_77","G_78","G_79","G_80","G_81","G_82","G_83","G_84","G_85","G_86","G_87","G_88","G_89","G_90","G_91","G_92","G_93","G_94","G_95","G_96","G_97","G_98"
"G_71",0.53875,0.504625,0.447,0.458375,0.4495,0.490625,0.452625,0.439125,0.474875,0.494875,NA,0.45275,0.4525,0.516,0.444375,0.458625,0.505875,0.44425,0.50225,0.48575,0.4985,0.477375,0.470875,0.471875,0.440625,0.4795,0.460375,0.43675,0.4415,0.521125,0.46675,0.449,0.520625,0.504875,0.50325,0.64125,0.49825,0.501,0.4995,0.474625,0.44925,0.493,0.455625,0.455375,0.465625,0.441125,0.435,0.52225,0.51975,0.628375,0.46375,0.44475,0.542375,0.478875,0.457625,0.453125,0.538125,0.489,0.6335,0.644,0.43725,0.512,0.5085,0.453,0.483,0.486375,0.45425,0.434625,0.444125,0,0.512625,0.476,0.6365,0.444875,0.545,0.64325,0.63875,0.53,0.52925,0.528625,0.5335,0.643875,0.63575,0.532875,0.547375,0.629875,0.648,0.627625,0.6345,0.62775,0.637875,0.65225,0.5435,0.534375,0.54775,0.64375,0.437375
"G_72",0.51825,0.48425,0.429625,0.44625,0.4345,0.471625,0.434875,0.426375,0.45675,0.475875,NA,0.4435,0.438375,0.502375,0.431625,0.439375,0.483625,0.431875,0.481625,0.465875,0.4865,0.456625,0.464,0.455625,0.426875,0.461125,0.44325,0.420625,0.422625,0.493875,0.4415,0.428625,0.508375,0.485375,0.484125,0.626,0.473375,0.480375,0.49025,0.46025,0.425625,0.475375,0.432,0.442875,0.441375,0.43275,0.414625,0.501625,0.503125,0.61975,0.448625,0.429625,0.52125,0.456,0.448375,0.435875,0.5135,0.472375,0.621625,0.6315,0.4345,0.498875,0.49225,0.434875,0.45625,0.47225,0.43475,0.425125,0.436125,0.487375,0,0.460625,0.632875,0.43625,0.526625,0.627625,0.621375,0.52075,0.518,0.514125,0.521625,0.6275,0.622,0.517625,0.5245,0.61475,0.62875,0.61575,0.618625,0.615375,0.614625,0.6365,0.528875,0.516625,0.52725,0.62475,0.42475
"G_73",0.5615,0.515375,0.488125,0.482375,0.48,0.521875,0.476625,0.464125,0.4965,0.523375,NA,0.484,0.475125,0.542875,0.47175,0.481375,0.534,0.47625,0.5265,0.511375,0.521875,0.495,0.49675,0.49275,0.471875,0.499125,0.485875,0.4655,0.471125,0.540375,0.494125,0.471875,0.546875,0.523125,0.529625,0.653875,0.517375,0.524875,0.52,0.501375,0.472875,0.51875,0.47825,0.48825,0.483375,0.46875,0.459,0.542625,0.540625,0.644125,0.49525,0.47025,0.55625,0.509125,0.4795,0.475375,0.550375,0.511875,0.64875,0.663625,0.4705,0.540625,0.533875,0.486625,0.499625,0.519375,0.476125,0.4665,0.470375,0.524,0.539375,0,0.651625,0.4755,0.571,0.657,0.64775,0.554875,0.560875,0.55475,0.55675,0.650125,0.650625,0.557125,0.558875,0.6445,0.65775,0.64625,0.646,0.651375,0.649125,0.662875,0.57075,0.558875,0.562,0.653375,0.46725
"G_74",0.38875,0.358375,0.331,0.336125,0.3255,0.355,0.3305,0.324875,0.344375,0.35475,NA,0.3355,0.32725,0.3725,0.33225,0.336625,0.36375,0.3285,0.36375,0.34925,0.355125,0.345375,0.34325,0.34625,0.3255,0.347,0.334,0.324125,0.323375,0.365875,0.337125,0.3325,0.385125,0.360125,0.357375,0.499125,0.356875,0.3625,0.353875,0.347,0.328625,0.359875,0.3295,0.333125,0.340875,0.327125,0.322,0.368125,0.369875,0.496375,0.33775,0.33225,0.389375,0.337375,0.327,0.32975,0.38775,0.35225,0.493375,0.505125,0.324125,0.365,0.368375,0.329625,0.345,0.35075,0.326875,0.33,0.328125,0.3635,0.367125,0.348375,0,0.32925,0.39675,0.506625,0.5015,0.382375,0.386375,0.387875,0.3865,0.506875,0.49575,0.384125,0.38875,0.484375,0.50225,0.4955,0.491625,0.49825,0.4965,0.502125,0.392625,0.386125,0.39625,0.50675,0.323
"G_75",0.58,0.55075,0.509875,0.5045,0.506,0.547,0.5095,0.503125,0.528125,0.5515,NA,0.515625,0.5045,0.563,0.498625,0.507125,0.560625,0.508625,0.548125,0.541375,0.5495,0.52725,0.526125,0.521875,0.4875,0.536,0.507625,0.49875,0.501,0.5615,0.522625,0.51375,0.57825,0.54725,0.5575,0.67175,0.539125,0.55325,0.549125,0.527875,0.4965,0.544,0.51175,0.512,0.522,0.496,0.481625,0.564375,0.56825,0.661375,0.52675,0.497,0.585375,0.533625,0.506,0.5055,0.586125,0.532875,0.665125,0.674375,0.489,0.5675,0.565625,0.5095,0.525,0.544875,0.501625,0.4915,0.50175,0.555125,0.56375,0.5245,0.67075,0,0.585,0.670125,0.665875,0.57475,0.58575,0.584,0.58725,0.668,0.665625,0.57775,0.58675,0.663,0.676,0.657,0.66425,0.65975,0.667625,0.67275,0.595125,0.58425,0.5895,0.6725,0.495125
"G_76",0.495,0.464625,0.407125,0.41925,0.4055,0.445875,0.411,0.40675,0.43225,0.458625,NA,0.421,0.405125,0.469625,0.405625,0.4115,0.462875,0.41475,0.458,0.445875,0.457125,0.42425,0.428,0.432625,0.402375,0.431875,0.4175,0.398,0.40125,0.4655,0.421125,0.406625,0.49175,0.456,0.460625,0.606625,0.455,0.45775,0.452125,0.44075,0.4055,0.446,0.416875,0.422,0.426875,0.406125,0.4,0.469125,0.478,0.603,0.423375,0.403125,0.498625,0.4365,0.411875,0.418875,0.4935,0.44525,0.59725,0.61125,0.40775,0.464125,0.467,0.415375,0.436625,0.444125,0.404,0.39825,0.4035,0.455,0.473375,0.429,0.60325,0.415,0,0.604,0.602125,0.49,0.491625,0.48525,0.491625,0.6115,0.6065,0.486125,0.501125,0.599375,0.6095,0.595,0.60025,0.59,0.595875,0.608375,0.4915,0.492375,0.495125,0.612375,0.40025
"G_77",0.380875,0.362125,0.329375,0.3335,0.327125,0.356375,0.329625,0.324375,0.345,0.355,NA,0.333125,0.32375,0.372125,0.3195,0.32925,0.363375,0.32925,0.359,0.3445,0.356125,0.338375,0.341875,0.344625,0.319625,0.34275,0.3315,0.321625,0.323125,0.371875,0.3365,0.32175,0.382875,0.35875,0.359,0.506,0.35575,0.35875,0.363125,0.344625,0.325,0.351625,0.32775,0.326625,0.344625,0.328375,0.319375,0.372625,0.368375,0.494875,0.334625,0.328375,0.388875,0.344,0.325375,0.327875,0.39225,0.355875,0.492,0.49875,0.32275,0.3665,0.370625,0.323625,0.343375,0.34425,0.32275,0.3245,0.324125,0.35675,0.372375,0.343,0.493375,0.329875,0.396,0,0.50075,0.37875,0.384125,0.381875,0.386375,0.50625,0.499,0.3885,0.391875,0.491,0.501125,0.49575,0.49075,0.4895,0.49375,0.51025,0.391375,0.388625,0.3845,0.499125,0.322
"G_78",0.39525,0.360625,0.329125,0.337125,0.33,0.356375,0.3345,0.329875,0.347,0.35625,NA,0.335375,0.329625,0.375375,0.32975,0.331125,0.36425,0.33325,0.360375,0.346875,0.359125,0.34375,0.3465,0.338375,0.32375,0.343875,0.332125,0.32825,0.326,0.378375,0.338875,0.333875,0.387375,0.362875,0.369,0.497375,0.36025,0.36275,0.358,0.34425,0.33225,0.355125,0.332125,0.3345,0.338,0.32825,0.321875,0.375875,0.377375,0.49825,0.3405,0.32825,0.390375,0.344125,0.337625,0.331625,0.3895,0.353875,0.492625,0.513875,0.325,0.37075,0.367,0.33125,0.354125,0.3575,0.33325,0.322875,0.328125,0.36125,0.378625,0.35225,0.4985,0.334125,0.397875,0.49925,0,0.38725,0.387875,0.3875,0.39825,0.50675,0.507625,0.387375,0.397625,0.491,0.499,0.494125,0.492375,0.489375,0.492375,0.5235,0.39675,0.400125,0.395375,0.503,0.32775
"G_79",0.49825,0.474125,0.424125,0.4325,0.4235,0.46725,0.4265,0.418625,0.444875,0.468875,NA,0.430125,0.4225,0.489625,0.421125,0.429375,0.470125,0.424875,0.469375,0.45325,0.47425,0.443,0.443375,0.441375,0.416375,0.454125,0.42575,0.417375,0.416125,0.479375,0.438625,0.425875,0.492875,0.466,0.477125,0.60975,0.459875,0.46575,0.470125,0.44675,0.420125,0.460375,0.42275,0.43075,0.437625,0.418625,0.410375,0.491125,0.489,0.60675,0.43675,0.42575,0.501375,0.445625,0.430875,0.43,0.507,0.461375,0.6065,0.61925,0.42,0.486,0.483625,0.426,0.4455,0.455375,0.42625,0.4195,0.420625,0.47,0.47925,0.445125,0.617625,0.42525,0.51,0.62125,0.61275,0,0.504125,0.497125,0.507625,0.614625,0.610875,0.5,0.510625,0.606375,0.619625,0.604625,0.6065,0.604625,0.60475,0.615875,0.51,0.495625,0.506375,0.611375,0.418625
"G_80",0.507,0.466,0.423375,0.426125,0.416875,0.4585,0.4195,0.414375,0.435875,0.460125,NA,0.42675,0.41775,0.47475,0.414625,0.421,0.471875,0.41975,0.471125,0.456125,0.46075,0.44475,0.444,0.442375,0.417125,0.448,0.423375,0.4105,0.41125,0.473,0.4345,0.417375,0.489375,0.467,0.47125,0.62025,0.453625,0.467375,0.464,0.44575,0.40925,0.462375,0.41775,0.429875,0.434625,0.414,0.40875,0.479,0.482625,0.61,0.4335,0.41725,0.50975,0.443125,0.426875,0.420625,0.495375,0.454625,0.60175,0.618375,0.410375,0.478875,0.4845,0.427875,0.444625,0.45925,0.4215,0.41625,0.411375,0.47075,0.482,0.439125,0.613625,0.41425,0.508375,0.615875,0.612125,0.495875,0,0.49425,0.501375,0.61475,0.6125,0.49525,0.5095,0.6025,0.613125,0.60475,0.604625,0.605625,0.607125,0.612875,0.50775,0.50275,0.506125,0.615,0.416375
