"","G_1","G_2","G_3","G_4","G_5","G_6","G_7","G_8","G_9","G_10","G_11","G_12","G_13","G_14","G_15","G_16","G_17","G_18","G_19","G_20","G_21","G_22","G_23","G_24","G_25","G_26","G_27","G_28","G_29","G_30","G_31","G_32","G_33","G_34","G_35","G_36","G_37","G_38","G_39","G_40","G_41","G_42","G_43","G_44","G_45","G_46","G_47","G_48","G_49","G_50","G_51","G_52","G_53","G_54","G_56","G_57","G_58","G_59","G_60","G_61","G_62","G_63","G_64","G_65","G_66","G_67","G_68","G_69","G_70","G_71","G_72","G_73","G_74","G_75","G_76","G_77","G_78","G_79","G_80","G_81","G_82","G_83","G_84","G_85","G_86","G_87","G_88","G_89","G_90","G_91","G_92","G_93","G_94","G_95","G_96","G_97","G_98"
"G_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G_12",NA,NA,0.41675,0.310625,0.361125,NA,0.3305,0.286375,0.365625,NA,NA,0,0.409,NA,0.149125,0.2765,NA,0.568375,NA,0.4775,0.573625,NA,NA,NA,0.458375,0.540625,0.6135,0.3395,0.373625,NA,0.486375,0.392875,NA,0.50125,0.38175,NA,NA,0.5495,0.550375,0.37125,0.455,NA,0.37625,0.436875,0.567875,0.433625,0.361,NA,NA,NA,0.293875,0.482,NA,0.377125,0.609,0.38475,NA,NA,NA,NA,0.354875,NA,NA,0.330625,0.488125,0.278625,0.29575,0.454,0.35875,NA,NA,0.432875,NA,0.360625,NA,NA,NA,NA,NA,NA,0.47,NA,NA,0.5455,0.558125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49725
"G_13",NA,NA,0.50475,0.365375,0.441625,NA,0.398625,0.341375,0.436875,NA,NA,0.591,0,NA,0.187,0.314375,NA,0.676125,NA,0.586375,0.682375,NA,NA,NA,0.583125,0.64125,0.73175,0.412375,0.459125,NA,0.569875,0.482375,NA,0.582375,0.453625,NA,NA,0.65775,0.659375,0.432625,0.554875,NA,0.451,0.53925,0.67825,0.52925,0.441875,NA,NA,NA,0.351375,0.591375,NA,0.44125,0.72825,0.456875,NA,NA,NA,NA,0.42675,NA,NA,0.395125,0.57175,0.338125,0.339125,0.572125,0.451875,NA,NA,0.506875,NA,0.428,NA,NA,NA,NA,NA,NA,0.5595,NA,NA,0.6545,0.661125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62325
"G_14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G_15",NA,NA,0.811,0.798125,0.808125,NA,0.81475,0.809,0.8075,NA,NA,0.850875,0.813,NA,0,0.78875,NA,0.854,NA,0.825375,0.846125,NA,NA,NA,0.81125,0.846875,0.852375,0.802875,0.8,NA,0.82925,0.800625,NA,0.845125,0.805125,NA,NA,0.8465,0.844375,0.792875,0.822125,NA,0.812,0.812125,0.847,0.824875,0.800125,NA,NA,NA,0.799625,0.8285,NA,0.789875,0.851625,0.81525,NA,NA,NA,NA,0.807875,NA,NA,0.803375,0.837375,0.737,0.793875,0.8125,0.807875,NA,NA,0.823,NA,0.80875,NA,NA,NA,NA,NA,NA,0.829875,NA,NA,0.850875,0.8435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811875
"G_16",NA,NA,0.683625,0.553625,0.586,NA,0.561875,0.55625,0.607375,NA,NA,0.7235,0.685625,NA,0.21125,0,NA,0.778375,NA,0.71525,0.77525,NA,NA,NA,0.73175,0.755125,0.81025,0.62325,0.666125,NA,0.6895,0.669125,NA,0.708,0.580875,NA,NA,0.762625,0.7595,0.562625,0.707125,NA,0.632875,0.70625,0.772,0.708125,0.649625,NA,NA,NA,0.527125,0.726,NA,0.5635,0.806125,0.633875,NA,NA,NA,NA,0.619625,NA,NA,0.60325,0.694125,0.44025,0.553,0.730875,0.63225,NA,NA,0.641875,NA,0.602625,NA,NA,NA,NA,NA,NA,0.68275,NA,NA,0.754625,0.76025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74525
"G_17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G_18",NA,NA,0.331625,0.254125,0.299875,NA,0.2885,0.22625,0.3035,NA,NA,0.431625,0.323875,NA,0.146,0.221625,NA,0,NA,0.40125,0.509625,NA,NA,NA,0.373125,0.474375,0.5525,0.2645,0.29175,NA,0.423375,0.315375,NA,0.428,0.327875,NA,NA,0.483,0.496625,0.32825,0.372125,NA,0.30825,0.346125,0.50475,0.351,0.281,NA,NA,NA,0.243,0.410375,NA,0.3345,0.5495,0.31675,NA,NA,NA,NA,0.289625,NA,NA,0.26125,0.4215,0.243125,0.23475,0.368625,0.296875,NA,NA,0.370625,NA,0.298375,NA,NA,NA,NA,NA,NA,0.417375,NA,NA,0.485875,0.492625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409875
"G_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G_20",NA,NA,0.420375,0.32975,0.3835,NA,0.35425,0.291375,0.380875,NA,NA,0.5225,0.413625,NA,0.174625,0.28475,NA,0.59875,NA,0,0.611875,NA,NA,NA,0.475,0.573875,0.660375,0.339125,0.37625,NA,0.510875,0.394375,NA,0.522,0.401,NA,NA,0.58375,0.5955,0.388,0.477125,NA,0.386875,0.4455,0.601625,0.44725,0.37025,NA,NA,NA,0.307,0.511625,NA,0.397375,0.64875,0.393375,NA,NA,NA,NA,0.35375,NA,NA,0.333875,0.514875,0.302,0.291125,0.468375,0.373,NA,NA,0.452375,NA,0.367625,NA,NA,NA,NA,NA,NA,0.4895,NA,NA,0.584375,0.5925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516125
