"","G_1","G_2","G_3","G_4","G_5","G_6","G_7","G_8","G_9","G_10","G_11","G_12","G_13","G_14","G_15","G_16","G_17","G_18","G_19","G_20","G_21","G_22","G_23","G_24","G_25","G_26","G_27","G_28","G_29","G_30","G_31","G_32","G_33","G_34","G_35","G_36","G_37","G_38","G_39","G_40","G_41","G_42","G_43","G_44","G_45","G_46","G_47","G_48","G_49","G_50","G_51","G_52","G_53","G_54","G_56","G_57","G_58","G_59","G_60","G_61","G_62","G_63","G_64","G_65","G_66","G_67","G_68","G_69","G_70","G_71","G_72","G_73","G_74","G_75","G_76","G_77","G_78","G_79","G_80","G_81","G_82","G_83","G_84","G_85","G_86","G_87","G_88","G_89","G_90","G_91","G_92","G_93","G_94","G_95","G_96","G_97","G_98"
"G_86",0.385125,0.38075,0.348375,0.356125,0.3475,0.369875,0.348125,0.343375,0.376375,0.36025,NA,0.361125,0.3485,0.36825,0.339625,0.351,0.372625,0.357875,0.364875,0.367375,0.384,0.354875,0.351875,0.349375,0.345625,0.355,0.347375,0.345375,0.348625,0.391875,0.356125,0.35375,0.380375,0.373,0.37675,0.49625,0.374125,0.384625,0.37025,0.36425,0.349125,0.363,0.34875,0.354,0.362,0.360875,0.3535,0.377625,0.38625,0.520375,0.357125,0.3535,0.38475,0.346,0.357375,0.348375,0.385,0.371625,0.516875,0.50975,0.351375,0.37525,0.378625,0.36375,0.363,0.3865,0.353875,0.364625,0.356625,0.361375,0.39775,0.3695,0.51925,0.36125,0.376875,0.505,0.513875,0.389375,0.3845,0.389,0.508625,0.521125,0.51025,0.51425,0,0.52675,0.4965,0.507375,0.51375,0.509875,0.511625,0.521125,0.390125,0.384125,0.38525,0.499125,0.345
"G_87",0.349,0.35,0.326625,0.328,0.312625,0.339,0.3175,0.309375,0.340625,0.337,NA,0.329,0.31575,0.345,0.307125,0.319875,0.338875,0.32375,0.336,0.337625,0.35125,0.321125,0.318875,0.318125,0.315375,0.32075,0.31625,0.313,0.311,0.353375,0.318875,0.319125,0.35575,0.33575,0.34725,0.480125,0.341875,0.35375,0.341375,0.339625,0.3135,0.326625,0.322375,0.331375,0.32825,0.3285,0.324875,0.349875,0.3535,0.50125,0.32425,0.32325,0.362125,0.318,0.32975,0.318125,0.353,0.33825,0.49675,0.486375,0.32225,0.347,0.3455,0.32325,0.335375,0.3475,0.325875,0.33075,0.327,0.33525,0.360375,0.338,0.50025,0.32875,0.356125,0.4905,0.485375,0.35825,0.359,0.362625,0.487375,0.496125,0.489375,0.48625,0.47325,0,0.46575,0.490125,0.485875,0.48825,0.4915,0.503875,0.36025,0.35725,0.349125,0.488375,0.324
"G_88",0.403625,0.39375,0.366625,0.377875,0.368,0.384,0.36225,0.359625,0.388125,0.379375,NA,0.378125,0.370625,0.389,0.360875,0.373125,0.388125,0.375,0.378375,0.379875,0.397625,0.379875,0.36525,0.367625,0.36475,0.3735,0.365,0.361,0.36325,0.40325,0.3735,0.368875,0.405375,0.391375,0.395375,0.5195,0.38625,0.4,0.386125,0.3835,0.359875,0.38225,0.36825,0.37875,0.376375,0.37275,0.369875,0.39925,0.39725,0.523875,0.376875,0.367,0.401875,0.364,0.37,0.3685,0.39775,0.38975,0.522875,0.5215,0.3665,0.39675,0.396125,0.369625,0.381125,0.393875,0.3715,0.371875,0.367625,0.37925,0.40675,0.384125,0.531125,0.37,0.40275,0.522,0.523875,0.397375,0.40575,0.408125,0.534,0.5225,0.520375,0.515875,0.5035,0.53425,0,0.52825,0.5145,0.524875,0.521625,0.53325,0.407625,0.399125,0.396875,0.51825,0.3655
"G_89",0.366375,0.354625,0.33575,0.337,0.335,0.349625,0.336625,0.333875,0.360375,0.353125,NA,0.34275,0.332875,0.36175,0.324375,0.343875,0.35375,0.33925,0.35175,0.34925,0.356,0.336875,0.328375,0.33875,0.33275,0.3495,0.331125,0.334625,0.327375,0.364125,0.3365,0.33325,0.368375,0.357625,0.366,0.490125,0.352125,0.37,0.3585,0.35075,0.335625,0.35325,0.337375,0.346875,0.343875,0.33975,0.34425,0.3615,0.369875,0.50525,0.34225,0.33475,0.372375,0.334,0.34425,0.330875,0.36425,0.354625,0.510875,0.501,0.33925,0.3555,0.356625,0.3425,0.348875,0.365625,0.341625,0.34325,0.343375,0.34725,0.378125,0.344125,0.49675,0.343125,0.373125,0.497875,0.498625,0.372375,0.371,0.373375,0.493625,0.504375,0.495625,0.492125,0.492625,0.509875,0.47175,0,0.48975,0.49825,0.493125,0.5155,0.372375,0.370625,0.367125,0.491125,0.333125
"G_90",0.376625,0.368375,0.34675,0.35175,0.338,0.362375,0.337375,0.340125,0.37175,0.365125,NA,0.352,0.336125,0.3665,0.33375,0.346875,0.359875,0.350625,0.349125,0.358,0.3705,0.3495,0.339375,0.341875,0.33725,0.35525,0.333,0.340375,0.341,0.380375,0.345625,0.343875,0.376875,0.366875,0.371625,0.496,0.35425,0.3705,0.36925,0.358,0.340875,0.357,0.344125,0.354125,0.346875,0.354,0.35225,0.37225,0.377125,0.50775,0.351,0.3425,0.376125,0.34175,0.354125,0.335375,0.377,0.3695,0.510375,0.50775,0.3525,0.36125,0.36825,0.351,0.351875,0.375125,0.3565,0.354,0.355625,0.356875,0.389625,0.357,0.509375,0.352625,0.378125,0.495,0.506375,0.3775,0.379625,0.37575,0.507,0.50975,0.50425,0.499,0.48625,0.514125,0.4855,0.51025,0,0.509125,0.49925,0.518125,0.3825,0.379125,0.3775,0.4965,0.339125
"G_91",0.3565,0.350875,0.32725,0.333875,0.325625,0.34475,0.3235,0.326375,0.354375,0.344875,NA,0.336375,0.326625,0.351125,0.31525,0.32775,0.35275,0.334375,0.346125,0.34275,0.356,0.333625,0.325375,0.322875,0.330625,0.342875,0.323625,0.32375,0.321125,0.368375,0.332,0.3285,0.36225,0.350375,0.368375,0.487,0.344,0.36425,0.354625,0.349,0.329125,0.347625,0.3305,0.343,0.337875,0.336875,0.333875,0.354875,0.367125,0.506625,0.330375,0.328125,0.37075,0.326,0.334875,0.326625,0.365,0.354,0.50275,0.499875,0.329625,0.35375,0.357375,0.333,0.3455,0.362375,0.33525,0.34375,0.329375,0.34525,0.375375,0.337375,0.50425,0.3365,0.36075,0.494,0.50225,0.363875,0.3705,0.37125,0.502125,0.51025,0.505875,0.497125,0.490125,0.51175,0.475125,0.50175,0.490875,0,0.499875,0.518625,0.366875,0.3665,0.368125,0.4905,0.32975
"G_92",0.365,0.36025,0.33525,0.33875,0.33175,0.350125,0.33025,0.32175,0.359375,0.354,NA,0.341625,0.32825,0.3575,0.327375,0.337375,0.354625,0.339,0.35225,0.35125,0.361375,0.334,0.32875,0.327375,0.330375,0.335625,0.333,0.33125,0.329625,0.37175,0.339625,0.33275,0.363875,0.35675,0.3625,0.491375,0.353875,0.368375,0.357375,0.351875,0.33225,0.34775,0.33725,0.339875,0.341125,0.3385,0.339125,0.362125,0.366375,0.498625,0.344125,0.3285,0.37425,0.331,0.34375,0.3275,0.37075,0.356,0.5075,0.5045,0.3335,0.356125,0.36425,0.3375,0.3465,0.3665,0.338625,0.34475,0.33675,0.350875,0.371125,0.34525,0.506375,0.3365,0.365875,0.497,0.502,0.368875,0.37225,0.37775,0.5045,0.5005,0.506,0.4995,0.488375,0.5085,0.478375,0.506875,0.50075,0.500125,0,0.51325,0.369875,0.377875,0.369,0.49325,0.3325
"G_93",0.351625,0.339,0.32375,0.3325,0.317875,0.3425,0.3185,0.32,0.350625,0.33525,NA,0.3345,0.323625,0.35225,0.32025,0.329375,0.3415,0.332,0.3445,0.343125,0.356875,0.325375,0.322125,0.32375,0.32225,0.331375,0.321625,0.316125,0.31725,0.36525,0.324625,0.3205,0.358875,0.3435,0.35325,0.477125,0.345375,0.35025,0.346375,0.342375,0.330375,0.3395,0.328625,0.33625,0.337125,0.333875,0.329375,0.35725,0.356,0.485875,0.330875,0.324,0.360125,0.323875,0.329,0.321625,0.36,0.34175,0.492625,0.487375,0.32275,0.35175,0.352125,0.328,0.333875,0.358625,0.3295,0.3335,0.322375,0.34175,0.367,0.340125,0.491625,0.328375,0.34925,0.48425,0.494,0.35525,0.3605,0.361375,0.48625,0.48975,0.481875,0.481875,0.478875,0.496125,0.46675,0.4845,0.481875,0.481375,0.48675,0,0.359375,0.36525,0.36725,0.491125,0.32025
"G_94",0.484,0.479625,0.44875,0.448375,0.43925,0.462875,0.43225,0.43375,0.487625,0.47725,NA,0.461875,0.43375,0.475125,0.420875,0.4545,0.47625,0.450625,0.467875,0.454,0.49075,0.44825,0.433875,0.436125,0.446625,0.464125,0.4285,0.439875,0.428,0.4965,0.45525,0.447125,0.486625,0.475875,0.4965,0.618,0.47725,0.493125,0.482375,0.472125,0.43775,0.472,0.439875,0.455875,0.454375,0.457125,0.45975,0.479625,0.504625,0.63875,0.463875,0.445875,0.50175,0.428,0.462375,0.440375,0.497625,0.478,0.6355,0.626,0.44725,0.47925,0.488,0.45625,0.469,0.495375,0.45825,0.466125,0.454375,0.46525,0.512,0.4765,0.62875,0.460625,0.49525,0.624875,0.621125,0.50625,0.506125,0.511125,0.62725,0.63375,0.6325,0.62475,0.609875,0.63975,0.592375,0.627625,0.6175,0.633125,0.630125,0.640625,0,0.508625,0.499,0.612625,0.431375
"G_95",0.477875,0.477125,0.44175,0.452125,0.439375,0.465,0.4255,0.42375,0.478625,0.4665,NA,0.455,0.432125,0.476,0.42425,0.4435,0.470125,0.4475,0.457,0.467375,0.48425,0.44275,0.437,0.43225,0.438125,0.4495,0.423875,0.432625,0.424125,0.501875,0.443625,0.45025,0.491625,0.4745,0.49325,0.608375,0.4735,0.490875,0.480625,0.460125,0.44,0.4665,0.436,0.45725,0.455375,0.4545,0.458625,0.47825,0.492375,0.6345,0.451625,0.444875,0.495125,0.428125,0.456625,0.434625,0.492625,0.47825,0.63225,0.625875,0.443,0.478125,0.482375,0.455125,0.468875,0.4885,0.44925,0.46775,0.449,0.460625,0.50675,0.46775,0.630625,0.459,0.491375,0.624,0.626625,0.49325,0.491375,0.50125,0.6265,0.629875,0.625,0.616875,0.615875,0.64275,0.600875,0.629375,0.620875,0.6335,0.622125,0.63475,0.491375,0,0.501875,0.60625,0.435375
"G_96",0.478625,0.48675,0.446125,0.45775,0.44025,0.467375,0.433,0.426625,0.485125,0.4695,NA,0.46275,0.4335,0.476,0.418875,0.44875,0.483125,0.455125,0.468375,0.4625,0.493125,0.44625,0.44225,0.43825,0.437875,0.459125,0.431375,0.42875,0.428,0.50225,0.451125,0.4435,0.49675,0.476875,0.498625,0.611125,0.47725,0.49275,0.474625,0.4755,0.441125,0.47625,0.442375,0.46475,0.453,0.460625,0.457125,0.48825,0.50025,0.638875,0.4575,0.447625,0.501,0.436,0.451375,0.438625,0.48925,0.486375,0.635125,0.625125,0.447,0.480625,0.494625,0.445125,0.46975,0.4975,0.45375,0.475875,0.456,0.463,0.51375,0.46925,0.635375,0.460375,0.491875,0.622125,0.634375,0.495625,0.5085,0.50575,0.62975,0.628125,0.634125,0.624125,0.61475,0.650875,0.603125,0.632875,0.6225,0.631875,0.631,0.63275,0.501,0.498125,0,0.618625,0.446375
"G_97",0.375625,0.371875,0.353625,0.356,0.34875,0.361875,0.34475,0.34225,0.37025,0.357625,NA,0.36275,0.344125,0.3725,0.33475,0.355625,0.369,0.35225,0.368,0.36225,0.379625,0.349125,0.35,0.346375,0.344375,0.359625,0.343875,0.349375,0.343875,0.381,0.355375,0.35525,0.381125,0.373,0.37975,0.4985,0.371625,0.38,0.3695,0.37325,0.348625,0.359625,0.350875,0.35875,0.35775,0.3585,0.356625,0.374,0.384625,0.50825,0.35975,0.3485,0.384875,0.353375,0.360125,0.337875,0.37925,0.365375,0.511375,0.507875,0.35375,0.3715,0.37575,0.35875,0.361,0.377875,0.355625,0.362,0.3555,0.36275,0.39625,0.359,0.512,0.3595,0.374,0.498125,0.511875,0.384125,0.383125,0.38675,0.508,0.505375,0.507875,0.50125,0.500875,0.511625,0.48175,0.508875,0.5035,0.5095,0.50675,0.508875,0.387375,0.39375,0.381375,0,0.356
"G_98",0.549375,0.545875,0.508125,0.5175,0.50175,0.530375,0.491375,0.485125,0.55125,0.536625,NA,0.526,0.501875,0.5315,0.470875,0.508625,0.547375,0.510375,0.520625,0.52175,0.56025,0.511875,0.499375,0.499625,0.507125,0.5165,0.49425,0.497375,0.494625,0.55975,0.514375,0.50925,0.55,0.5335,0.556875,0.655625,0.539375,0.558,0.5335,0.543125,0.495875,0.51975,0.50375,0.523125,0.524625,0.521,0.52675,0.55,0.560875,0.672375,0.52375,0.51925,0.560375,0.49675,0.5315,0.499,0.556125,0.53225,0.669875,0.66975,0.500875,0.546375,0.54575,0.520875,0.522125,0.553,0.520375,0.518875,0.51875,0.527,0.569375,0.528875,0.67125,0.522625,0.5565,0.664125,0.663625,0.557875,0.563625,0.562625,0.66925,0.66825,0.66875,0.664625,0.655,0.676,0.6345,0.666875,0.660875,0.67025,0.6675,0.67975,0.568625,0.564625,0.553625,0.644,0
