"","G_1","G_2","G_3","G_4","G_5","G_6","G_7","G_8","G_9","G_10","G_11","G_12","G_13","G_14","G_15","G_16","G_17","G_18","G_19","G_20","G_21","G_22","G_23","G_24","G_25","G_26","G_27","G_28","G_29","G_30","G_31","G_32","G_33","G_34","G_35","G_36","G_37","G_38","G_39","G_40","G_41","G_42","G_43","G_44","G_45","G_46","G_47","G_48","G_49","G_50","G_51","G_52","G_53","G_54","G_56","G_57","G_58","G_59","G_60","G_61","G_62","G_63","G_64","G_65","G_66","G_67","G_68","G_69","G_70","G_71","G_72","G_73","G_74","G_75","G_76","G_77","G_78","G_79","G_80","G_81","G_82","G_83","G_84","G_85","G_86","G_87","G_88","G_89","G_90","G_91","G_92","G_93","G_94","G_95","G_96","G_97","G_98"
"G_11",0.432,0.773125,0.828125,0.827875,0.266875,0.6445,0.14125,0.597375,0.364625,0.689125,0,0.20775,0.869375,0.623,0.1135,0.5075,0.725625,0.23675,0.329375,0.836875,0.71825,0.095,0.103625,0.127375,0.801875,0.437375,0.44875,0.74975,0.61775,0.467375,0.629875,0.90625,0.63475,0.688625,0.44175,0.7285,0.217125,0.795125,0.484,0.825125,0.663375,0.915625,0.78325,0.7955,0.84825,0.826375,0.727875,0.238875,0.58375,0.827125,0.6875,0.643875,0.786875,0.283875,0.2585,0.146625,0.3515,0.18225,0.235,0.10475,0.2065,0.58225,0.488,0.209375,0.190125,0.157375,0.551375,0.210875,0.423375,0.4145,0.36775,0.707,0.1415,0.196875,0.262375,0.208,0.263,0.12875,0.28625,0.187125,0.140625,0.11925,0.290875,0.156,0.091375,0.099375,0.207125,0.60675,0.25375,0.43425,0.155375,0.843,0.35325,0.167125,0.1515,0.095,0.379125
"G_12",0.779,0.876,0.88525,0.8905,0.698875,0.879375,0.261,0.904375,0.774,0.86875,0.79225,0,0.90075,0.828,0.093875,0.8365,0.8725,0.70925,0.6945,0.908875,0.86875,0.065125,0.084125,0.135375,0.902625,0.850125,0.86875,0.910375,0.866625,0.8445,0.889,0.921,0.843875,0.85975,0.841,0.887625,0.492125,0.86225,0.81975,0.894375,0.904875,0.901625,0.867,0.866875,0.873,0.917375,0.903125,0.6295,0.861,0.858125,0.862875,0.878625,0.849625,0.7305,0.70225,0.294875,0.68475,0.402875,0.46525,0.103125,0.6115,0.838125,0.846375,0.634,0.4875,0.314125,0.893875,0.636875,0.85625,0.7985,0.79275,0.835125,0.1835,0.564,0.550375,0.38925,0.477,0.193375,0.596625,0.35725,0.280875,0.117,0.565625,0.290125,0.0845,0.096125,0.4405,0.856125,0.56675,0.756875,0.2915,0.894,0.700875,0.281625,0.2635,0.1025,0.838875
"G_13",0.1095,0.31825,0.422875,0.307,0.099875,0.149875,0.07775,0.124125,0.088875,0.172,0.130625,0.09925,0,0.07875,0.0785,0.082375,0.225375,0.077,0.06575,0.379,0.185625,0.061625,0.0715,0.073625,0.17225,0.086,0.096125,0.15325,0.1035,0.115,0.12175,0.670875,0.14025,0.17375,0.121375,0.262,0.09075,0.423,0.08925,0.33275,0.162,0.728625,0.167625,0.292875,0.53625,0.21825,0.133625,0.07975,0.102125,0.617125,0.120875,0.10725,0.43575,0.10425,0.086875,0.063625,0.097,0.083625,0.103375,0.0715,0.083,0.07925,0.113625,0.06425,0.051,0.076375,0.12875,0.082125,0.08575,0.09925,0.105375,0.18025,0.08725,0.0875,0.093625,0.08325,0.134375,0.09425,0.093375,0.099,0.084375,0.091,0.126125,0.0765,0.06575,0.077875,0.063375,0.14525,0.10525,0.100625,0.057875,0.572,0.101625,0.090375,0.090125,0.065,0.10675
"G_14",0.28925,0.777625,0.871875,0.823375,0.167625,0.54675,0.12275,0.387,0.214,0.588,0.377,0.172,0.92125,0,0.132125,0.30775,0.69225,0.140875,0.202875,0.8505,0.641375,0.118,0.123875,0.133125,0.758875,0.239125,0.2385,0.70475,0.435875,0.28625,0.45025,0.9445,0.533625,0.63825,0.288,0.66275,0.143125,0.8475,0.30675,0.81,0.5025,0.924,0.7695,0.824,0.885875,0.826375,0.63275,0.15675,0.4215,0.863375,0.586625,0.50275,0.796375,0.16825,0.17575,0.105,0.222125,0.153625,0.176125,0.1245,0.12675,0.414625,0.296625,0.133,0.12325,0.132625,0.31925,0.146875,0.210375,0.27825,0.23,0.67575,0.144875,0.152375,0.166625,0.153125,0.20975,0.1565,0.191625,0.164125,0.146125,0.162875,0.2115,0.142625,0.11825,0.126375,0.17,0.481125,0.197125,0.296,0.095,0.87725,0.22925,0.136125,0.1355,0.1335,0.19125
"G_15",0.8905,0.90825,0.888875,0.902875,0.894,0.903875,0.776125,0.936,0.8895,0.9145,0.8865,0.906125,0.9215,0.867875,0,0.904,0.9265,0.886875,0.853125,0.927875,0.89775,0.262,0.140375,0.557625,0.929875,0.906,0.922875,0.928,0.88325,0.9365,0.923125,0.929875,0.90375,0.924125,0.94,0.92725,0.805625,0.909875,0.887875,0.9225,0.933,0.923625,0.910375,0.923375,0.91775,0.936375,0.92525,0.883,0.908,0.91,0.894375,0.90975,0.89075,0.901375,0.90325,0.77425,0.85675,0.751375,0.764,0.251375,0.867,0.88525,0.9145,0.877625,0.8145,0.765375,0.924,0.8935,0.91125,0.91325,0.9135,0.897875,0.442875,0.867125,0.795125,0.692875,0.756375,0.48175,0.8385,0.6915,0.630875,0.1655,0.816,0.677125,0.288875,0.145375,0.738875,0.90475,0.82175,0.859125,0.588875,0.922,0.85575,0.5975,0.564125,0.135,0.912625
"G_16",0.40225,0.86225,0.88325,0.8935,0.151,0.72575,0.10125,0.6415,0.27125,0.7365,0.4925,0.1635,0.917625,0.69225,0.096,0,0.812125,0.125375,0.27275,0.90925,0.805375,0.08825,0.099125,0.116375,0.89875,0.36975,0.38475,0.889875,0.7135,0.402375,0.678625,0.93975,0.673125,0.793125,0.405125,0.787625,0.154625,0.88225,0.44575,0.89125,0.7425,0.9235,0.872875,0.885,0.899375,0.929625,0.863,0.17075,0.644125,0.8755,0.769,0.742375,0.8375,0.1785,0.160375,0.081875,0.28525,0.167375,0.202375,0.1165,0.11175,0.628625,0.435125,0.137375,0.113,0.097875,0.5385,0.12275,0.319375,0.379125,0.283125,0.802125,0.124,0.132625,0.193625,0.1475,0.221625,0.139875,0.23625,0.159875,0.13425,0.1435,0.250625,0.129125,0.08325,0.093625,0.167,0.603875,0.219875,0.37625,0.11075,0.89575,0.299625,0.1185,0.122875,0.120625,0.239125
"G_17",0.21,0.610875,0.731875,0.63275,0.131125,0.37675,0.10575,0.25875,0.136625,0.40875,0.274375,0.1275,0.774625,0.30775,0.0735,0.187875,0,0.101,0.1345,0.697875,0.4785,0.0865,0.083875,0.107625,0.51075,0.177125,0.170625,0.46725,0.273375,0.206875,0.296125,0.828875,0.346875,0.4385,0.21825,0.51125,0.101875,0.694125,0.21,0.615625,0.329875,0.847875,0.524125,0.639375,0.764875,0.60975,0.4125,0.117,0.284,0.755375,0.380875,0.313375,0.6555,0.138875,0.12,0.074125,0.16925,0.12075,0.14125,0.0975,0.104375,0.271875,0.209875,0.106875,0.076125,0.08825,0.228125,0.1045,0.15925,0.178875,0.16825,0.473625,0.111,0.10675,0.118125,0.109,0.1765,0.11325,0.153625,0.129125,0.112875,0.120625,0.175625,0.10775,0.07325,0.093375,0.11,0.343625,0.14575,0.199,0.087,0.74925,0.150875,0.104125,0.108875,0.107375,0.13825
"G_18",0.725,0.906875,0.890375,0.899375,0.503375,0.883125,0.1515,0.925875,0.693875,0.887625,0.76325,0.29075,0.923,0.859125,0.113125,0.874625,0.899,0,0.60975,0.930125,0.889,0.086625,0.109125,0.131625,0.93025,0.8365,0.87325,0.92425,0.892875,0.823375,0.907,0.934,0.869,0.893125,0.77775,0.891375,0.3805,0.895875,0.79275,0.920125,0.919875,0.9255,0.905375,0.905375,0.906125,0.942,0.92,0.47075,0.8725,0.881375,0.893,0.911625,0.885125,0.557,0.498875,0.15425,0.595,0.30825,0.391125,0.139,0.366875,0.876125,0.836125,0.421625,0.355125,0.191,0.9035,0.39675,0.829125,0.74,0.685375,0.87525,0.161125,0.317625,0.432,0.300375,0.37175,0.189,0.4945,0.2685,0.211625,0.142125,0.458875,0.223125,0.097875,0.120375,0.360625,0.832875,0.468125,0.68875,0.232125,0.909,0.610875,0.21775,0.210625,0.128375,0.7935
"G_19",0.6015,0.88525,0.890125,0.91575,0.421125,0.825,0.187375,0.82425,0.56725,0.844625,0.670625,0.3055,0.93425,0.797125,0.146875,0.72725,0.8655,0.39025,0,0.915875,0.85275,0.116625,0.123875,0.150875,0.922375,0.684125,0.692625,0.915,0.821125,0.6785,0.83725,0.932625,0.7985,0.85175,0.650125,0.8615,0.3245,0.884625,0.683375,0.92275,0.882375,0.928625,0.892625,0.899125,0.88325,0.92375,0.89475,0.3855,0.78625,0.868375,0.835125,0.854375,0.855375,0.43425,0.404,0.204125,0.514125,0.262875,0.341375,0.123375,0.331125,0.7775,0.69775,0.35025,0.292125,0.225375,0.794,0.347,0.635625,0.612125,0.54925,0.833125,0.16525,0.299625,0.39025,0.28775,0.342375,0.176625,0.43325,0.259,0.19625,0.143625,0.409125,0.214875,0.117875,0.11525,0.305625,0.772,0.395,0.60975,0.197875,0.910875,0.5175,0.217125,0.202375,0.12325,0.605625
"G_20",0.121625,0.412375,0.559375,0.410625,0.07825,0.19425,0.07275,0.134875,0.081125,0.238875,0.163125,0.091125,0.621,0.1495,0.072125,0.09075,0.302125,0.069875,0.084125,0,0.266125,0.063,0.066125,0.070625,0.282625,0.089625,0.084875,0.246,0.12225,0.11375,0.14375,0.736,0.21575,0.258875,0.126125,0.322375,0.0755,0.529,0.109125,0.437125,0.16325,0.782,0.312875,0.433125,0.635,0.3855,0.19275,0.064875,0.13675,0.664,0.20625,0.14675,0.538875,0.099,0.09525,0.07,0.1175,0.097375,0.09575,0.078125,0.074125,0.121875,0.109125,0.06225,0.05725,0.071125,0.126875,0.06275,0.088625,0.116625,0.103625,0.271125,0.087125,0.0865,0.08725,0.090125,0.12975,0.088,0.083875,0.088,0.07575,0.094875,0.111125,0.0625,0.0565,0.0645,0.08075,0.197375,0.10725,0.119125,0.062625,0.627875,0.111125,0.082625,0.083875,0.05925,0.09275
"G_21",0.218125,0.621875,0.771125,0.672125,0.124625,0.399,0.1205,0.26825,0.15075,0.43175,0.28175,0.13125,0.814375,0.358625,0.10225,0.194625,0.5215,0.111,0.14725,0.733875,0,0.097625,0.09475,0.10825,0.563375,0.174625,0.158875,0.52375,0.297375,0.198375,0.312375,0.878875,0.38475,0.46325,0.224,0.51825,0.109625,0.73175,0.21525,0.662,0.353875,0.871625,0.588,0.68625,0.7955,0.671125,0.435,0.09975,0.310375,0.7895,0.418875,0.3465,0.693,0.14375,0.128,0.099,0.178,0.129,0.139625,0.108,0.1075,0.280625,0.212375,0.093875,0.1035,0.09825,0.233625,0.105,0.166375,0.1885,0.174625,0.507625,0.1145,0.11725,0.135625,0.12525,0.16975,0.125,0.14275,0.132375,0.109,0.1115,0.166625,0.106,0.086375,0.100625,0.12475,0.368375,0.15125,0.211375,0.093375,0.7695,0.1605,0.117125,0.11575,0.094,0.127125
"G_22",0.919625,0.92425,0.904,0.913375,0.91425,0.91425,0.884875,0.943875,0.92475,0.924375,0.905,0.934875,0.938375,0.882,0.738,0.91175,0.9135,0.913375,0.883375,0.937,0.902375,0,0.156,0.758375,0.93425,0.905875,0.918625,0.94125,0.895375,0.93325,0.9285,0.946625,0.907,0.924,0.948125,0.928375,0.875125,0.917625,0.903625,0.92875,0.938625,0.939125,0.917125,0.921,0.931625,0.945375,0.92375,0.899,0.916625,0.915125,0.897375,0.91875,0.901375,0.907625,0.912375,0.862625,0.883875,0.860875,0.840125,0.36425,0.899875,0.899625,0.918,0.889125,0.868875,0.874375,0.921,0.917625,0.91425,0.93525,0.920125,0.886375,0.56775,0.909375,0.8825,0.825125,0.855125,0.624375,0.890625,0.80425,0.78325,0.17075,0.88875,0.803625,0.479375,0.165875,0.82525,0.918375,0.88875,0.885,0.711125,0.934,0.908625,0.75875,0.71175,0.16575,0.93575
"G_23",0.907125,0.919,0.907625,0.91375,0.9115,0.908875,0.87825,0.94125,0.886875,0.91775,0.896375,0.915875,0.9285,0.876125,0.859625,0.900875,0.916125,0.890875,0.876125,0.933875,0.90525,0.844,0,0.890625,0.940125,0.908375,0.920375,0.932875,0.894,0.937375,0.92525,0.93825,0.906,0.92575,0.937,0.933,0.88725,0.90975,0.892875,0.918375,0.941,0.934,0.9105,0.926125,0.905875,0.943875,0.937375,0.901,0.901625,0.89525,0.907625,0.910625,0.887625,0.904875,0.9,0.849875,0.8945,0.90425,0.911,0.696875,0.8715,0.885375,0.914875,0.892375,0.86625,0.859375,0.931625,0.89325,0.90275,0.906375,0.924875,0.89375,0.8305,0.876625,0.876625,0.863875,0.94125,0.877375,0.90575,0.902875,0.8845,0.293125,0.934375,0.89775,0.79825,0.17675,0.893,0.919375,0.91225,0.886,0.847375,0.924875,0.884,0.8655,0.874875,0.35,0.90025
"G_24",0.873375,0.911125,0.891125,0.9025,0.880875,0.89375,0.703125,0.93525,0.860625,0.90525,0.872625,0.864625,0.926375,0.866875,0.442375,0.883625,0.892375,0.868375,0.849125,0.929375,0.89175,0.241625,0.109375,0,0.9265,0.885625,0.88875,0.928625,0.881625,0.90325,0.90825,0.937375,0.89675,0.9105,0.935125,0.915125,0.759375,0.90475,0.854625,0.91825,0.9205,0.9275,0.91,0.90025,0.90375,0.940375,0.925125,0.85425,0.886875,0.882125,0.88275,0.907,0.86025,0.889375,0.88825,0.743125,0.835,0.722625,0.731125,0.23775,0.839625,0.886,0.902875,0.858625,0.7705,0.702125,0.913875,0.873875,0.889625,0.896,0.901625,0.855875,0.386375,0.853375,0.77375,0.667875,0.7375,0.443125,0.826875,0.658125,0.594625,0.1565,0.803375,0.616625,0.261,0.109125,0.699125,0.89425,0.79475,0.856375,0.54475,0.918875,0.841875,0.574375,0.5295,0.13075,0.90425
"G_25",0.156,0.58775,0.787625,0.659875,0.0795,0.313375,0.075375,0.12575,0.097625,0.354125,0.198125,0.097375,0.82775,0.241125,0.070125,0.10125,0.48925,0.06975,0.077625,0.717375,0.436625,0.06575,0.059875,0.0735,0,0.08025,0.084125,0.432625,0.141625,0.122625,0.178125,0.862375,0.292875,0.4175,0.129875,0.475625,0.078125,0.716125,0.142875,0.65075,0.21125,0.8605,0.555375,0.668125,0.826625,0.67575,0.2845,0.072875,0.20175,0.772625,0.316375,0.1925,0.701625,0.089875,0.07925,0.066625,0.0935,0.093,0.0865,0.074125,0.07175,0.1745,0.10525,0.054,0.062875,0.077125,0.11925,0.072125,0.08025,0.1275,0.106375,0.46825,0.093875,0.090875,0.09375,0.09725,0.13,0.089,0.092,0.0905,0.080875,0.086625,0.12125,0.072875,0.059875,0.065625,0.066125,0.262875,0.10625,0.134625,0.06325,0.74875,0.11975,0.090625,0.08775,0.05125,0.09675
"G_26",0.4555,0.87575,0.876875,0.900625,0.188375,0.777,0.102,0.775125,0.369875,0.798375,0.562625,0.149875,0.914,0.760875,0.094,0.63025,0.822875,0.1635,0.315875,0.910375,0.825375,0.094125,0.091625,0.114375,0.91975,0,0.51025,0.9095,0.820625,0.5235,0.79875,0.931375,0.73975,0.81375,0.4995,0.815125,0.17675,0.87475,0.544125,0.894375,0.865375,0.913875,0.87425,0.886,0.864125,0.921125,0.907,0.18825,0.729375,0.866875,0.825,0.83275,0.837375,0.215875,0.173125,0.08275,0.35925,0.14775,0.205875,0.093,0.1305,0.710375,0.556375,0.13875,0.137375,0.10625,0.6925,0.12825,0.444125,0.469875,0.347875,0.80675,0.11525,0.128875,0.246,0.170125,0.236875,0.119625,0.2625,0.1545,0.1195,0.133375,0.263125,0.121625,0.08675,0.1,0.195,0.69525,0.254875,0.4655,0.117625,0.89825,0.355375,0.130875,0.123625,0.106,0.336625
